Excelencia operacional,¿Su aplicación va a estar sujeta a cambios de una manera constante?
Excelencia operacional,¿Considera usted fundamental para los objetivos estratégicos de su negocio tener sistemas de monitoreos extras? 
Excelencia operacional,¿Invertiría una cantidad de dinero considerable para que su aplicación tengo herramientas que permitan la operación de una manera simplificada o automatizada?
Excelencia operacional,¿Invertiría una cantidad de dinero considerable para permitir una mejor comunicación entre los diferentes miembros responsables de la operación de la aplicación?
Excelencia operacional,¿Invertiría una cantidad de dinero considerable para que se creen mecanismos capaces de integrar continuamente el código a su aplicación?
Seguridad,"¿Considera que su aplicación necesita, por cuestiones del negocio, unas características extras de seguridad? "
Seguridad,¿Estaría dispuesto a invertir dinero extra en la seguridad de los servicios que utilizará su aplicación? 
Seguridad,¿Su aplicación cuenta con restricciones gubernamentales que le obligan a cumplir con estándares de seguridad? 
Seguridad,"¿Estaría dispuesto a invertir una cantidad considerable de dinero extra para implementar sistemas para prevenir intrusiones, daños por parte de atacantes internos y entre otros? "
Seguridad,"¿Considera usted que su aplicación requiere un conjunto de herramientas especializadas en el monitoreo de su aplicación desde el punto de vista de la seguridad (Desde el diseño, la construcción y su operación)? "
Fiabilidad,¿La disponibilidad 24/7 de su aplicación es un requerimiento impuesto por su negocio? (Dos puntos) 
Fiabilidad,¿Pagaría una cantidad considerable de dinero extra para tener la disponibilidad más alta ofrecida por los proveedores? 
Fiabilidad,¿Estaría dispuesto de sacrificar rendimiento para ofrecer una mayor fiabilidad en su aplicación? 
Fiabilidad,¿Estaría dispuesto en gastar recursos extras para tener redundancia adicional en sus servicios? (Ejemplo: Más de dos instancias para simple redundancia) 
Eficiencia del rendimiento ,¿Es relevante desde el punto de vista de los requerimientos de su negocio las capacidades extra como el auto escalamiento no programado? (dos puntos) 
Eficiencia del rendimiento ,¿Considera relevante que las cargas de trabajo que maneje su aplicación sean gestionadas de la manera precisa en cuestión de uso de recursos? 
Eficiencia del rendimiento ,"¿Utilizaría herramientas avanzadas para el análisis de su infraestructura para hacerla mas eficiente, incluso cuando esto podría costar una cantidad de dinero adicional? "
Eficiencia del rendimiento ,¿Considera usted necesario implementar políticas de archivo y eliminación para algunos de los datos utilizados por su aplicación? 
Optimización de costos ,¿El presupuesto disponible para la implementación y operación de la aplicación es un tema de discusión fundamental desde el punto de vista del negocio? (Dos puntos) 
Optimización de costos ,¿Es relevante para usted monitorear constantemente el consumo y los costos que podría estar generando la infraestructura? 
Optimización de costos ,¿Estaría usted dispuesto en sacrificar disponibilidad con tal de tener el mejor precio posible por carga de trabajo? 
Optimización de costos ,¿Estaría usted dispuesto a migrar algunas tecnologías de su aplicación con tal de reducir costos? 
